Donte Moncrief ,@BUF,16,0,0,0,22,0,520,6,0,0,0,90.2,0,2,88,0,90
Malcom Floyd ,DET,16,0,0,0,0,0,661,4,0,0,0,90.1,0,0,90,0,90
Cordarrelle Patterson ,@SF,16,0,0,0,176,1,429,4,0,0,0,90.5,0,23,66,0,89
Rueben Randle ,@DAL,16,0,0,0,0,0,654,4,0,0,0,89.4,0,0,89,0,89
Kenny Stills ,@WAS,16,0,0,0,0,0,714,3,0,0,0,89.4,0,0,89,0,89
Marques Colston ,@ARI,16,0,0,0,0,0,697,3,0,0,0,87.7,0,0,87,0,87
Marvin Jones ,@OAK,16,0,0,0,0,0,635,4,0,0,0,87.5,0,0,87,0,87
Kenny Britt ,SEA,16,0,0,0,11,0,673,3,0,0,0,86.4,0,1,85,0,86
Danny Amendola ,PIT,16,0,0,0,0,0,720,2,0,0,0,84,0,0,84,0,84
Andrew Hawkins ,@NYJ,16,0,0,0,13,0,697,2,0,0,0,83,0,1,81,0,82
Markus Wheaton ,@NE,16,0,0,0,15,0,611,3,0,0,0,80.6,0,1,79,0,80
Stedman Bailey ,SEA,16,0,0,0,22,0,595,3,0,0,0,79.7,0,2,77,0,79
Andre Roberts ,MIA,16,0,0,0,15,0,594,3,0,0,0,78.9,0,1,77,0,78
Brian Quick ,SEA,16,0,0,0,0,0,600,3,0,0,0,78,0,0,78,0,78
Cole Beasley ,NYG,16,0,0,0,0,0,586,3,0,0,0,76.6,0,0,76,0,76
Eddie Royal ,GB,16,0,0,0,0,0,583,3,0,0,0,76.3,0,0,76,0,76
Corey Brown ,@JAC,16,0,0,0,57,0,464,4,0,0,0,76.1,0,5,70,0,75
Steve Johnson ,DET,16,0,0,0,0,0,498,4,0,0,0,73.8,0,0,73,0,73
Chris Conley ,@HOU,16,0,0,0,0,0,555,3,0,0,0,73.5,0,0,73,0,73
Vince Mayle ,@NYJ,16,0,0,0,0,0,554,3,0,0,0,73.4,0,0,73,0,73
Jaelen Strong ,KC,16,0,0,0,0,0,609,2,0,0,0,72.9,0,0,72,0,72
Greg Jennings ,@WAS,16,0,0,0,0,0,537,3,0,0,0,71.7,0,0,71,0,71
